ten_loai_sach,dinh_huong,lop,chu_de,loai,bai_hoc,muc_tieu,nang_luc_chinh,nang_luc_ho_tro,chi_muc_1,chi_muc_2,chi_muc_3,chi_muc_4,chi_muc_5,chi_muc_6,chi_muc_7
Kết nối tri thức với cuộc sống,Khoa học máy tính,12,CHỦ ĐỀ 6 (CS). MẠNG MÁY TÍNH VÀ INTERNET,Lý thuyết,Bài 27. Máy tính và Khoa học dữ liệu,Biết được vai trò của máy tính đối với sự phát triển của Khoa học dữ liệu cùng tính ưu việt trong việc sử dụng máy tính và thuật toán hiệu quả để xử lí dữ liệu có kích thước lớn.,NLc,"NLa, NLe, NLb, NLd",Vai trò của máy tính đối với sự phát triển của Khoa học dữ liệu,Tính ưu việt trong việc sử dụng máy tính và thuật toán hiệu quả để xử lí dữ liệu lớn,,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,12,CHỦ ĐỀ 6 (CS). MẠNG MÁY TÍNH VÀ INTERNET,Thực hành,Bài 28. Thực hành trải nghiệm trích rút thông tin và tri thức,"Sử dụng bảng tính điện tử để thực hành một số bước xử lí và phân tích dữ liệu đơn giản.
Nêu được trải nghiệm của bản thân trong việc trích rút thông tin và tri thức hữu ích từ dữ liệu đã có.",NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ chung: Thực hiện một số bước xử lí và phân tích dữ liệu đơn giản,,,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,12,CHỦ ĐỀ 6 (CS). MẠNG MÁY TÍNH VÀ INTERNET,Lý thuyết,Bài 29. Mô phỏng trong giải quyết vấn đề,"Nêu được sơ lược về khái niệm mô phỏng.
Nhận biết được vai trò của mô phỏng trong giải quyết vấn đề thực tế.",NLc,"NLa, NLe, NLb, NLd",Mô phỏng và lợi ích của mô phỏng,Mô phỏng trong thực tế,,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,12,CHỦ ĐỀ 6 (CS). MẠNG MÁY TÍNH VÀ INTERNET,Lý thuyết,Bài 30. Ứng dụng mô phỏng trong giáo dục,"Nêu được vai trò của phần mềm mô phỏng trong giáo dục.
Thực hiện được một số bài thực hành sử dụng phần mềm mô phỏng.",NLc,"NLa, NLe, NLb, NLd",Giới thiệu một số phần mềm mô phỏng trong giáo dục,Thực hành: Sử dụng phần mềm mô phỏng trong giáo dục,,,,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,12,CHỦ ĐỀ 6 (ICT). MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Thực hành,Bài 22. Thực hành kết nối các thiết bị số,Kết nối được máy tính với một số thiết bị số thông dụng.,"NLa, NLe","NLb, NLc, NLd",Thiết bị số và nhà thông minh,Thực hành,,,,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,12,CHỦ ĐỀ 6 (ICT). MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Lý thuyết,Bài 23. Chuẩn bị xây dựng trang web,Có nhận thức ban đầu về các thành phần của trang web và các bước thiết kế trang web.,"NLa, NLe, NLc","NLb, NLd",Những đặc điểm chung của trang web,Các bước chuẩn bị để xây dựng trang web,,,,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,12,CHỦ ĐỀ 6 (ICT). MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Thực hành,Bài 24. Xây dựng phần đầu trang web,Biết các bước xây dựng phần đầu trang web với hỗ trợ của Google Sites.,"NLa, NLe, NLc","NLb, NLd",Nhiệm vụ 1: Làm quen với giao diện đầu tiên của Google Sites,Nhiệm vụ 2: Tìm hiểu giao diện tạo phần đầu trang,Nhiệm vụ 3: Tạo phần đầu trang,,,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,12,CHỦ ĐỀ 6 (ICT). MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Thực hành,Bài 25. Xây dựng phần thân và chân trang web,Biết cách xây dựng phần nội dung và chân trang web với sự hỗ trợ của Google Sites.,"NLa, NLe, NLc","NLb, NLd",Nhiệm vụ 1: Tìm hiểu giao diện tạo phần thân trang web,Nhiệm vụ 2: Tạo phần thân trang web,Nhiệm vụ 3: Thêm bản đồ vào trang web,Nhiệm vụ 4: Chỉnh sửa các đối tượng đã có,Nhiệm vụ 5: Thiết lập chân trang,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,12,CHỦ ĐỀ 6 (ICT). MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Thực hành,Bài 26. Liên kết và thanh điều hướng,Biết cách tạo liên kết và thiết lập bảng chọn trên thanh điều hướng với sự hỗ trợ của Google Sites.,"NLa, NLe, NLc","NLb, NLd",Nhiệm vụ 1: Tìm hiểu mô hình các trang web liên kết với nhau theo cấu trúc hình cây,Nhiệm vụ 2: Tạo và truy cập các trang con,,,,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,12,CHỦ ĐỀ 6 (ICT). MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Thực hành,Bài 27. Biểu mẫu trên trang web,Biết cách tạo các biểu mẫu cho trang web và lấy kết quả từ biểu mẫu với hỗ trợ của Google Sites.,"NLa, NLe, NLc","NLb, NLd",Nhiệm vụ 1: Tạo biểu mẫu,Nhiệm vụ 2: Nhúng biểu mẫu vào trang web,Nhiệm vụ 3: Xem dữ liệu thống kê phản hồi,,,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,12,CHỦ ĐỀ 6 (ICT). MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Thực hành,Bài 28. Thực hành tổng hợp,Biết cách vận dụng kiến thức đã học để xây dựng hoàn chỉnh một website.,"NLa, NLe, NLc","NLb, NLd",Nhiệm vụ 1: Lựa chọn chủ đề,Nhiệm vụ 2: Thực hiện các bước chuẩn bị,Nhiệm vụ 3: Xây dựng các trang web theo chủ đề đã lựa chọn,,,,
Cánh diều,,12,CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC ,Lý thuyết,Bài 1. Giới thiệu về trí tuệ nhân tạo,"Giải thích được sơ lược về khái niệm Trí tuệ nhân tạo (AI).
Nêu được ví dụ để thấy một hệ thống AI có tri thức, có khả năng suy luận và khả năng học,...
Biết được một số lĩnh vực nghiên cứu của AI.","NLa, NLe","NLb, NLc, NLd",Khái niệm trí tuệ nhân tạo (AI),Một số lĩnh vực nghiên cứu phát triển AI,,,,,
Cánh diều,,12,CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC ,Lý thuyết,Bài 2. Giới thiệu về trí tuệ nhân tạo (tiếp theo),"Chỉ ra được một số lĩnh vực của khoa học công nghệ, đời sống đã và đang phát triển mạnh mẽ dựa trên những thành tựu lớn của AI.
Nêu được ví dụ minh hoạ cho một số ứng dụng điển hình của AI như điều khiển tự động, chăm sóc bệnh, nhận dạng chữ viết, nhận dạng tiếng nói và khuôn mặt, trợ lí ảo,…
Nêu được cảnh báo về sự phát triển của AI trong tương lai.","NLa, NLe","NLb, NLc, NLd",Một số lĩnh vực phát triển nhờ ứng dụng AI,Các cảnh báo về ứng dụng AI,,,,,
Cánh diều,,12,CHỦ ĐỀ B. MẠNG MÁY TÍNH VÀ INTERNET ,Lý thuyết,Bài 1. Cơ sở mạng máy tính,"Nêu được các chức năng chính của một số thiết bị mạng thông dụng: Access Point, Switch, Modem, Router.","NLa, NLb, NLe","NLc, NLd",Một số khái niệm mở đầu,Mạng cục bộ,Mạng diện rộng và Internet,,,,
Cánh diều,,12,CHỦ ĐỀ B. MẠNG MÁY TÍNH VÀ INTERNET ,Lý thuyết,Bài 2. Mô hình và các giao thức mạng,Mô tả sơ lược được vai trò và chức năng của giao thức mạng nói chung và giao thức TCP/IP nói riêng.,"NLa, NLb, NLe","NLc, NLd",Giao thức mạng,Giao thức TCP,Giao thức IP,,,,
Cánh diều,,12,CHỦ ĐỀ B. MẠNG MÁY TÍNH VÀ INTERNET ,Thực hành,Bài 3. Thực hành thiết lập kết nối và sử dụng mạng,"Kết nối được máy tính với các thiết bị: Access Point, Switch.
Kết nối được thiết bị di động vào mạng máy tính.
Sử dụng được các chức năng mạng của hệ điều hành để chia sẻ tài nguyên.","NLa, NLb, NLe","NLc, NLd",Nhiệm vụ 1: Kết nối máy tính với Access Point,Nhiệm vụ 2: Kết nối máy tính với Switch,Nhiệm vụ 3: Kết nối thiết bị thông minh vào mạng máy tính,Nhiệm vụ 4: Chia sẻ dữ liệu,Nhiệm vụ 5: Chia sẻ máy in,,
Cánh diều,,12,"CHỦ ĐỀ D. ĐẠO ĐỨC, PHÁP LUẬT VÀ VĂN HÓA TRONG MÔI TRƯỜNG SỐ",Lý thuyết,Giữ gìn tính nhân văn trong thế giới ảo,"Phân tích được ưu và nhược điểm về giao tiếp trong thế giới ảo qua các ví dụ cụ thể.
Phân tích được tính nhân văn trong ứng xử ở một số tình huống tham gia thế giới ảo.",NLb,"NLa, NLc, NLd, NLe",Ưu điểm của giao tiếp qua không gian mạng,Một số vấn đề tiềm ẩn của giao tiếp qua không gian mạng,Ứng xử nhân văn trên không gian mạng,,,,
Cánh diều,,12,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 1. Làm quen với ngôn ngữ đánh dấu siêu văn bản,"Nhận biết được một số khái niệm chính của ngôn ngữ đánh dấu siêu văn bản: phần tử, thẻ mở, thẻ đóng.
Trình bày được cấu trúc của văn bản HTML.
Tạo được một trang web đơn giản bằng ngôn ngữ đánh dấu siêu văn bản.",NLc,"NLa, NLe, NLb, NLd",Ngôn ngữ đánh dấu siêu văn bản,Cấu trúc của một văn bản HTML,Thực hành tạo trang web đơn giản,,,,
Cánh diều,,12,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 2. Định dạng văn bản và tạo siêu liên kết,"Trình bày được cách tạo nội dung trang web theo đoạn văn bản và cách tạo tiêu đề mục.
Liệt kê được một số cách làm nổi bật văn bản trên trình duyệt web.
Mô tả được cách tạo siêu liên kết.",NLc,"NLa, NLe, NLb, NLd",Tổ chức các đoạn văn bản trong trang web,Tạo tiêu đề mục,Làm nổi bật nội dung văn bản,Tạo siêu liên kết,,,
Cánh diều,,12,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Thực hành,Bài 3. Thực hành định dạng văn bản và tạo siêu liên kết,"Tạo được trang web đơn giản với các đoạn văn bản và các tiêu đề mục.
Làm nổi bật được nội dung văn bản trên màn hình trình duyệt web.
Tạo được siêu liên kết.",NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ 1: Tạo tiêu đề mục cho trang web giới thiệu về bản thân,Nhiệm vụ 2: Làm nổi bật nội dung cho trang web giới thiệu về bản thân,Nhiệm vụ 3: Tạo siêu liên kết,,,,
Cánh diều,,12,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,"Bài 4. Trình bày nội dung theo dạng danh sách, bảng biểu","Trình bày được nội dung dạng danh sách trên trang web.
Tạo được bảng biểu trên trang web.",NLc,"NLa, NLe, NLb, NLd",Tạo danh sách,Tạo bảng,"Thực hành tạo danh sách, tạo bảng",,,,
Cánh diều,,12,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,"Bài 5. Chèn hình ảnh, âm thanh, video và sử dụng khung","Chèn được hình ảnh, tệp âm thanh, video vào trang web.
Nhúng được nội dung trang web khác vào trang web.",NLc,"NLa, NLe, NLb, NLd",Chèn hình ảnh,Chèn âm thanh,Chèn video,Sử dụng khung,"Thực hành chèn hình ảnh, âm thanh và sử dụng khung",,
Cánh diều,,12,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 6. Tạo biểu mẫu,"Phát biểu được khái niệm biểu mẫu.
Mô tả được một số điều khiển hỗ trợ nhập dữ liệu trên trang web.
Nêu được một số quy định trong thiết kế biểu mẫu.",NLc,"NLa, NLe, NLb, NLd",Nhập dữ liệu thông qua biểu mẫu,Một số điều khiển hỗ trợ nhập dữ liệu thông dụng và nút lệnh,Một số lưu ý trong thiết kế biểu mẫu,,,,
Cánh diều,,12,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Thực hành,Bài 7. Thực hành tạo biểu mẫu,"Tạo được biểu mẫu trên trang web.
Thêm được các điều khiển thông dụng vào biểu mẫu.
Thiết kế được biểu mẫu phù hợp với yêu cầu nhập dữ liệu.",NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ 1: Tạo biểu mẫu có ô text nhập dữ liệu,"Nhiệm vụ 2: Thêm các điều khiển nhập dữ liệu lựa chọn, gửi dữ liệu vào biểu mẫu",Nhiệm vụ 3: Tạo trang web phản hồi khi người dùng nhấn nút gửi dữ liệu,,,,
Cánh diều,,12,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 8. Làm quen với CSS,"Nêu được mục đích sử dụng CSS.
Mô tả được bộ chọn phần tử và cách áp dụng CSS.
Trình bày được một số thuộc tính định dạng CSS.",NLc,"NLa, NLe, NLb, NLd",Bảng định dạng CSS,Khai báo bộ chọn phần tử và áp dụng CSS,Một số thuộc tính định dạng CSS,,,,
Cánh diều,,12,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Thực hành,Bài 9. Thực hành định dạng một số thuộc tính CSS,"Khai báo được bộ chọn phần tử. 
Sử dụng được internal CSS, external CSS. 
Sử dụng được một số thuộc tính CSS.",NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ 1: Khai báo và áp dụng quy tắc định dạng internal CSS.,Nhiệm vụ 2: Khai báo và áp dụng quy tắc định dạng external CSS.,Nhiệm vụ 3: Áp dụng bảng định dạng external CSS đã có cho văn bản HTML.,,,,
Cánh diều,,12,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,"Bài 10. Bộ chọn lớp, bộ chọn định danh","Sử dụng được bộ chọn lớp, bộ chọn định danh.",NLc,"NLa, NLe, NLb, NLd",Bộ chọn lớp,Bộ chọn định danh,"Thực hành sử dụng bộ chọn lớp, bộ chọn định danh",,,,
Cánh diều,,12,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,"Bài 11. Mô hình hộp, bố cục trang web","Mô tả được mô hình hộp trong trình bày phần tử HTML. 
Trình bày được cách hiển thị phần tử theo khối, theo dòng. 
Nhận diện được các thành phần cơ bản trong bố cục trang web.",NLc,"NLa, NLe, NLb, NLd",Mô hình hộp trong trình bày phần tử HTML,"Hiển thị phần tử theo khối, theo dòng",Bố cục trang web,,,,
Cánh diều,,12,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 12. Dự án nhỏ: Tạo trang web bảo tường,"Sử dụng được các phần tử HTML để tạo trang web. 
Sử dụng được bảng định dạng CSS để tạo trang web đa dạng và sinh động.",NLc,"NLa, NLe, NLb, NLd",Yêu cầu chung,Một số hướng dẫn gợi ý,,,,,
Cánh diều,,12,CHỦ ĐỀ G. HƯỚNG NGHIỆP VỚI TIN HỌC,Lý thuyết,Bài 1. Giới thiệu nhóm nghề dịch vụ và quản trị trong ngành Công nghệ thông tin,"Trình bày được thông tin hướng nghiệp nhóm nghề dịch vụ và quản trị: sửa chữa và bảo trì máy tính, quản trị mạng, quản trị và bảo trì hệ thống, bảo mật hệ thống thông tin. 
Tự tìm kiếm và khai thác được thông tin hướng nghiệp về một số nghề trong nhóm nghề dịch vụ và quản trị ngành Công nghệ thông tin.","NLd, NLe, NLb","NLa, NLc",Nhóm nghề dịch vụ trong ngành Công nghệ thông tin,Nhóm nghề quản trị trong ngành Công nghệ thông tin,,,,,
Cánh diều,,12,CHỦ ĐỀ G. HƯỚNG NGHIỆP VỚI TIN HỌC,Lý thuyết,Bài 2. Một số nghề khác trong ngành Công nghệ thông tin và một số nghề ứng dụng công nghệ thông tin,"Nêu được tên một số nghề trong ngành Công nghiệp phần mềm hoặc trong chuyển đổi số. 
Nêu được tên một số nghề ứng dụng công nghệ thông tin trong ngành Truyền thông đa phương tiện hoặc các lĩnh vực khác. 
Giải thích được vai trò và công việc của những nghề này.","NLd, NLe, NLb","NLa, NLc",Một số nghề trong ngành Công nghiệp phần mềm,Chuyển đổi số và một số nghề liên quan,Một số nghề ứng dụng CNTT trong ngành Truyền thông đa phương tiện,Một số nghề ứng dụng CNTT trong các ngành khác,,,
Cánh diều,,12,CHỦ ĐỀ G. HƯỚNG NGHIỆP VỚI TIN HỌC,Thực hành,"Bài 3. Dự án nhỏ: Tìm hiểu thông tin tuyển sinh và hướng nghiệp về lĩnh vực đào tạo
“Máy tính và Công nghệ thông tin” ở Việt Nam","Tìm hiểu và trình bày được thông tin tuyển sinh và hướng nghiệp một số ngành đào tạo thuộc lĩnh vực đào tạo Máy tính và Công nghệ thông tin. 
Tìm hiểu và trình bày được vai trò và công việc của chuyên viên công nghệ thông tin trong một số ngành nghề có nhiều ứng dụng công nghệ thông tin. 
Giao lưu được với bạn bè qua các kênh truyền thông số để tham khảo và trao đổi ý kiến về những thông tin trên.","NLd, NLe, NLb","NLa, NLc",Yêu cầu chung,Một số hướng dẫn gợi ý,,,,,
Cánh diều,Tin học ứng dụng,12,CHỦ ĐỀ A (ICT). MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Thực hành,Bài 1. Thực hành kết nối máy tính với ti vi thông minh,"Kết nối được máy tính với ti vi thông minh qua kết nối không dây. 
Thực hiện truyền các tệp âm thanh, hình ảnh và video giữa máy tính và ti vi thông minh phù hợp với nhu cầu sử dụng và đạt hiệu quả tốt.","NLa, NLe","NLb, NLc, NLd",Nhiệm vụ 1: Kết nối máy tính với ti vi thông minh qua Wi-Fi.,Nhiệm vụ 2: Kết nối máy tính với ti vi thông minh qua Bluetooth.,,,,,
Cánh diều,Tin học ứng dụng,12,CHỦ ĐỀ A (ICT). MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Thực hành,Bài 2. Thực hành theo nhóm: Kết nối các thiết bị không dây cho ứng dụng ,"Kết nối được một số thiết bị thông minh. 
Khai thác được các tính năng của các thiết bị đó.","NLa, NLe","NLb, NLc, NLd",Yêu cầu chung,Các nhiệm vụ tuỳ chọn,,,,,
Cánh diều,Tin học ứng dụng,12,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC,Lý thuyết,Bài 1. Giới thiệu phần mềm tạo website,"Chỉ ra được một số chức năng cơ bản của phần mềm tạo website. 
Nhận biết được các thành phần của giao diện phần mềm tạo website Mobirise.","NLa, NLe, NLc","NLb, NLd",Phần mềm tạo website,Giới thiệu phần mềm Mobirise,Thực hành,,,,
Cánh diều,Tin học ứng dụng,12,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC,Thực hành,Bài 2. Tạo website bằng phần mềm,"Nhận diện được cấu trúc cơ bản của một website. 
Bước đầu sử dụng được một số chức năng chính của phần mềm tạo website.","NLa, NLe, NLc","NLb, NLd",Cấu trúc cơ bản của một website,Các bước tạo website bằng phần mềm,Thực hành,,,,
Cánh diều,Tin học ứng dụng,12,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC,Thực hành,Bài 3. Tạo thanh điều hướng cho trang web,"Nêu được ý nghĩa và cách sử dụng thanh điều hướng trong website. 
Tạo được thanh điều hướng cho trang web.","NLa, NLe, NLc","NLb, NLd",Giới thiệu thanh điều hướng: Chức năng và vị trí của thanh điều hướng.,Thực hành,,,,,
Cánh diều,Tin học ứng dụng,12,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC,Thực hành,Bài 4. Tạo nội dung văn bản cho trang web,"Tạo được nội dung văn bản cho trang web: nội dung bài viết, chân trang.","NLa, NLe, NLc","NLb, NLd",Giới thiệu bài viết trên trang web,Giới thiệu chân trang,Thực hành,,,,
Cánh diều,Tin học ứng dụng,12,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC,Thực hành,Bài 5. Tạo nội dung hình ảnh cho trang web,"Tạo được các nội dung dạng hình ảnh trên trang web: ảnh đại diện, video, thư viện ảnh dưới dạng thanh trượt và bộ sưu tập.","NLa, NLe, NLc","NLb, NLd","Hình ảnh, video trên trang web",Bộ sưu tập và thanh trượt,Thực hành,,,,
Cánh diều,Tin học ứng dụng,12,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC,Thực hành,Bài 6. Tạo biểu mẫu cho trang web và xuất bản website,"Tạo được biểu mẫu cho trang web. 
Xuất bản được website dưới dạng các tệp tin HTML, tải website lên trên Internet.","NLa, NLe, NLc","NLb, NLd",Biểu mẫu trên trang web,Chế độ xem trước,Xuất bản website,Thực hành,,,
Cánh diều,Tin học ứng dụng,12,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC,Thực hành,Bài 7. Tạo sản phẩm theo nhóm (Bài tập nhóm),"Tạo được một website bằng phần mềm Mobirise. 
Thể hiện được tính hợp tác và tinh thần trách nhiệm trong hoạt động nhóm.","NLa, NLe, NLc","NLb, NLd",Yêu cầu chung,Gợi ý một số chủ đề,Tiêu chí đánh giá sản phẩm,Hướng dẫn,,,
Cánh diều,Khoa học máy tính,12,CHỦ ĐỀ B (CS). MẠNG MÁY TÍNH VÀ INTERNET,Lý thuyết,Bài 1. Môi trường truyền dẫn,"Nhận diện hình dạng và phân biệt được chức năng của một số loại cáp mạng.
Nêu được khái niệm và ứng dụng của một số loại đường truyền hữu tuyến và vô tuyến thông dụng.","NLa, NLb, NLe","NLc, NLd",Đường truyền hữu tuyến,Đường truyền vô tuyến,,,,,
Cánh diều,Khoa học máy tính,12,CHỦ ĐỀ B (CS). MẠNG MÁY TÍNH VÀ INTERNET,Lý thuyết,Bài 2. Thiết bị mạng,"Nhận diện hình dạng và phân biệt được chức năng của các thiết bị mạng: Switch, Router, Access Point, Modem, Server.","NLa, NLb, NLe","NLc, NLd",Switch,Router,Access Point,Modem,Server,,
Cánh diều,Khoa học máy tính,12,CHỦ ĐỀ B (CS). MẠNG MÁY TÍNH VÀ INTERNET,Lý thuyết,Bài 3. Thiết kế mạng LAN,Trình bày và giải thích sơ lược được việc thiết kế mạng LAN cho một tổ chức nhỏ.,"NLa, NLb, NLe","NLc, NLd",Định nghĩa thiết kế mạng,Quy trình thiết kế mạng,,,,,
Cánh diều,Khoa học máy tính,12,CHỦ ĐỀ B (CS). MẠNG MÁY TÍNH VÀ INTERNET,Thực hành,Bài 4. Thực hành về nhận diện thiết bị mạng và thiết kế mạng LAN ,"Nhận diện hình dạng và phân biệt được các thiết bị mạng: Switch, Router, Access Point, cáp mạng.
Thiết kế được sơ đồ kết nối mạng LAN cho một trường phổ thông.","NLa, NLb, NLe","NLc, NLd",Nhận diện thiết bị mạng,Thiết kế mạng LAN,,,,,
Cánh diều,Khoa học máy tính,12,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 1. Giới thiệu về học máy,"Giải thích được sơ lược về khái niệm học máy.
Nêu được vai trò của học máy trong những công việc như: lọc thư rác, chẩn đoán bệnh, phân tích thị trường, nhận dạng tiếng nói và chữ viết, dịch tự động....",NLc,"NLa, NLe, NLb, NLd",Khái niệm học máy,Học có giám sát,Học không giám sát,Một số ứng dụng của học máy,,,
Cánh diều,Khoa học máy tính,12,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 2. Giới thiệu về khoa học dữ liệu,"Nêu được sơ lược về mục tiêu và một số thành tựu của khoa học dữ liệu, nêu được ví dụ minh hoạ.",NLc,"NLa, NLe, NLb, NLd",Khoa học dữ liệu,Một số thành tựu của khoa học dữ liệu,,,,,
Cánh diều,Khoa học máy tính,12,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 3. Giới thiệu về khoa học dữ liệu (Tiếp theo),"Biết được dữ liệu lớn là gì và các đặc trưng của dữ liệu lớn.
Biết được vai trò của máy tính đối với sự phát triển của khoa học dữ liệu.
Biết được tính ưu việt trong việc sử dụng máy tính và thuật toán hiệu quả để xử lí dữ liệu lớn, nêu được ví dụ minh hoạ.",NLc,"NLa, NLe, NLb, NLd",Các đặc trưng của dữ liệu lớn,"Phân tích dữ liệu, phát hiện tri thức",Vai trò của máy tính và thuật toán ưu việt với khoa học dữ liệu,,,,
Cánh diều,Khoa học máy tính,12,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Thực hành,Bài 4. Thực hành phân tích dữ liệu,Nêu được một số trải nghiệm của bản thân trong việc trích rút thông tin và tri thức hữu ích từ dữ liệu đã có thông qua sử dụng công cụ phân tích dữ liệu nâng cao của Excel.,NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ 1: Trích xuất thông tin về ước tính kì hạn vay từ dữ liệu cho trước,Nhiệm vụ 2: Đưa ra dự báo dựa trên chuỗi thời gian,,,,,
Cánh diều,Khoa học máy tính,12,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 1. Mô phỏng được sử dụng trong nhiều lĩnh vực,"Nêu được một số lĩnh vực trong đời sống có sử dụng kĩ thuật mô phỏng.
Nêu được một số vấn đề thực tế mà ở đó có thể cần dùng kĩ thuật mô phỏng để giải quyết.
Sử dụng được phần mềm Mô phỏng 3D Hệ Mặt Trời (Solar System 3D Simulator).",NLc,"NLa, NLe, NLb, NLd",Mô phỏng và phần mềm mô phỏng,Phần mềm mô phỏng trong một số lĩnh vực,Thực hành sử dụng phần mềm mô phỏng 3D Hệ Mặt Trời,,,,
Cánh diều,Khoa học máy tính,12,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Thực hành,Bài 2. Thực hành về mô phỏng,Sử dụng được phần mềm GeoGebra và nêu được lợi ích của phần mềm này.,NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ 1: Thể hiện trực quan một số định lí hình học bằng phần mềm GeoGebra,Nhiệm vụ 2: Tìm một quy luật hình học bằng mô phỏng của GeoGebra,"Nhiệm vụ 3: Dùng GeoGebra để hiển thị trực quan mặt phẳng, mặt bậc hai và phần giao khi chúng cắt nhau",,,,
